subject,topic,subtopic,question_count,independent_source_count,sessions_observed,last_observed_session,evidence_type,confidence,notes,verification_date
ENT,Larynx,,4,1,June 2026,June 2026,Memory-based recall,Moderate,4 questions classified to this topic in the available partial June 2026 recall,2026-09-23
ENT,Deep Neck Infection,,2,1,June 2026,June 2026,Memory-based recall,Moderate,2 questions classified to this topic in the available partial June 2026 recall,2026-09-23
ENT,Mastoid/Nasal,,3,1,June 2026,June 2026,Memory-based recall,Moderate,3 questions classified to this topic in the available partial June 2026 recall,2026-09-23
ENT,Laryngeal Papillomatosis,,1,1,June 2026,June 2026,Memory-based recall,Moderate,1 question classified to this topic in the available partial June 2026 recall,2026-09-23
Forensic Medicine,Forensic Injury,,8,1,June 2026,June 2026,Memory-based recall,Moderate,8 questions classified to this topic in the available partial June 2026 recall,2026-09-23
Forensic Medicine,Forensic Pathology,,2,1,June 2026,June 2026,Memory-based recall,Moderate,2 questions classified to this topic in the available partial June 2026 recall,2026-09-23
Forensic Medicine,Sexual Assault,,1,1,June 2026,June 2026,Memory-based recall,Moderate,1 question classified to this topic in the available partial June 2026 recall,2026-09-23
Medicine,Rheumatology,,2,1,June 2026,June 2026,Memory-based recall,Moderate,2 questions classified to this topic in the available partial June 2026 recall,2026-09-23
Medicine,Nephrology,,3,1,June 2026,June 2026,Memory-based recall,Moderate,3 questions classified to this topic in the available partial June 2026 recall,2026-09-23
Medicine,Neurology,,1,1,June 2026,June 2026,Memory-based recall,Moderate,1 question classified to this topic in the available partial June 2026 recall,2026-09-23
Medicine,Hepatology,,1,1,June 2026,June 2026,Memory-based recall,Moderate,1 question classified to this topic in the available partial June 2026 recall,2026-09-23
Medicine,Emergency Medicine,,2,1,June 2026,June 2026,Memory-based recall,Moderate,2 questions classified to this topic in the available partial June 2026 recall,2026-09-23
Medicine,Cardiology,,1,1,June 2026,June 2026,Memory-based recall,Moderate,1 question classified to this topic in the available partial June 2026 recall,2026-09-23
Medicine,Acid-Base,,1,1,June 2026,June 2026,Memory-based recall,Moderate,1 question classified to this topic in the available partial June 2026 recall,2026-09-23
Medicine,Endocrinology,,2,1,June 2026,June 2026,Memory-based recall,Moderate,2 questions classified to this topic in the available partial June 2026 recall,2026-09-23
Ophthalmology,Cornea/Ocular Surface,,4,1,June 2026,June 2026,Memory-based recall,Moderate,4 questions classified to this topic in the available partial June 2026 recall,2026-09-23
Ophthalmology,Glaucoma,,1,1,June 2026,June 2026,Memory-based recall,Moderate,1 question classified to this topic in the available partial June 2026 recall,2026-09-23
Ophthalmology,Neuro-ophthalmology,,3,1,June 2026,June 2026,Memory-based recall,Moderate,3 questions classified to this topic in the available partial June 2026 recall,2026-09-23
Ophthalmology,External Eye/Lids,,3,1,June 2026,June 2026,Memory-based recall,Moderate,3 questions classified to this topic in the available partial June 2026 recall,2026-09-23
Ophthalmology,Optics/Refraction,,2,1,June 2026,June 2026,Memory-based recall,Moderate,2 questions classified to this topic in the available partial June 2026 recall,2026-09-23
Ophthalmology,Lens,,1,1,June 2026,June 2026,Memory-based recall,Moderate,1 question classified to this topic in the available partial June 2026 recall,2026-09-23
Ophthalmology,Retina,,1,1,June 2026,June 2026,Memory-based recall,Moderate,1 question classified to this topic in the available partial June 2026 recall,2026-09-23
Microbiology,Virology,,3,1,June 2026,June 2026,Memory-based recall,Moderate,3 questions classified to this topic in the available partial June 2026 recall,2026-09-23
Microbiology,Bacteriology,,9,1,June 2026,June 2026,Memory-based recall,Moderate,9 questions classified to this topic in the available partial June 2026 recall,2026-09-23
Microbiology,Parasitology,,4,1,June 2026,June 2026,Memory-based recall,Moderate,4 questions classified to this topic in the available partial June 2026 recall,2026-09-23
Microbiology,Mycology,,2,1,June 2026,June 2026,Memory-based recall,Moderate,2 questions classified to this topic in the available partial June 2026 recall,2026-09-23
Microbiology,Infection Control,,1,1,June 2026,June 2026,Memory-based recall,Moderate,1 question classified to this topic in the available partial June 2026 recall,2026-09-23
Microbiology,Pediatric Exanthems,,1,1,June 2026,June 2026,Memory-based recall,Moderate,1 question classified to this topic in the available partial June 2026 recall,2026-09-23
Orthopedics,Peripheral Nerve Injuries,,4,1,June 2026,June 2026,Memory-based recall,Moderate,4 questions classified to this topic in the available partial June 2026 recall,2026-09-23
Orthopedics,Foot/Ankle,,1,1,June 2026,June 2026,Memory-based recall,Moderate,1 question classified to this topic in the available partial June 2026 recall,2026-09-23
Orthopedics,Trauma/Complications,,2,1,June 2026,June 2026,Memory-based recall,Moderate,2 questions classified to this topic in the available partial June 2026 recall,2026-09-23
Pathology,Male Genital Pathology,,1,1,June 2026,June 2026,Memory-based recall,Moderate,1 question classified to this topic in the available partial June 2026 recall,2026-09-23
Pathology,GI Neoplasia,,1,1,June 2026,June 2026,Memory-based recall,Moderate,1 question classified to this topic in the available partial June 2026 recall,2026-09-23
Pathology,Bone Tumors,,1,1,June 2026,June 2026,Memory-based recall,Moderate,1 question classified to this topic in the available partial June 2026 recall,2026-09-23
Pathology,Hematopathology,,2,1,June 2026,June 2026,Memory-based recall,Moderate,2 questions classified to this topic in the available partial June 2026 recall,2026-09-23
Pathology,Infectious Pathology,,1,1,June 2026,June 2026,Memory-based recall,Moderate,1 question classified to this topic in the available partial June 2026 recall,2026-09-23
Pediatrics,Hematology,,1,1,June 2026,June 2026,Memory-based recall,Moderate,1 question classified to this topic in the available partial June 2026 recall,2026-09-23
Pediatrics,Respiratory/Genetic,,2,1,June 2026,June 2026,Memory-based recall,Moderate,2 questions classified to this topic in the available partial June 2026 recall,2026-09-23
Pediatrics,Nutrition,,6,1,June 2026,June 2026,Memory-based recall,Moderate,6 questions classified to this topic in the available partial June 2026 recall,2026-09-23
Pediatrics,Genetics,,1,1,June 2026,June 2026,Memory-based recall,Moderate,1 question classified to this topic in the available partial June 2026 recall,2026-09-23
Pediatrics,Emergency/Nutrition,,1,1,June 2026,June 2026,Memory-based recall,Moderate,1 question classified to this topic in the available partial June 2026 recall,2026-09-23
Pediatrics,GI,,1,1,June 2026,June 2026,Memory-based recall,Moderate,1 question classified to this topic in the available partial June 2026 recall,2026-09-23
Pediatrics,Neurology,,2,1,June 2026,June 2026,Memory-based recall,Moderate,2 questions classified to this topic in the available partial June 2026 recall,2026-09-23
Pediatrics,Immunization,,1,1,June 2026,June 2026,Memory-based recall,Moderate,1 question classified to this topic in the available partial June 2026 recall,2026-09-23
Pediatrics,General Pediatrics,,2,1,June 2026,June 2026,Memory-based recall,Moderate,2 questions classified to this topic in the available partial June 2026 recall,2026-09-23
Pediatrics,Respiratory,,1,1,June 2026,June 2026,Memory-based recall,Moderate,1 question classified to this topic in the available partial June 2026 recall,2026-09-23
Pharmacology,CNS,,2,1,June 2026,June 2026,Memory-based recall,Moderate,2 questions classified to this topic in the available partial June 2026 recall,2026-09-23
Pharmacology,Toxicology,,1,1,June 2026,June 2026,Memory-based recall,Moderate,1 question classified to this topic in the available partial June 2026 recall,2026-09-23
Pharmacology,Immunosuppressants,,1,1,June 2026,June 2026,Memory-based recall,Moderate,1 question classified to this topic in the available partial June 2026 recall,2026-09-23
Pharmacology,Anticancer,,2,1,June 2026,June 2026,Memory-based recall,Moderate,2 questions classified to this topic in the available partial June 2026 recall,2026-09-23
Pharmacology,GI/Nutrition,,1,1,June 2026,June 2026,Memory-based recall,Moderate,1 question classified to this topic in the available partial June 2026 recall,2026-09-23
Pharmacology,Autonomic,,2,1,June 2026,June 2026,Memory-based recall,Moderate,2 questions classified to this topic in the available partial June 2026 recall,2026-09-23
Pharmacology,Antimicrobials,,2,1,June 2026,June 2026,Memory-based recall,Moderate,2 questions classified to this topic in the available partial June 2026 recall,2026-09-23
Pharmacology,General Pharmacokinetics,,1,1,June 2026,June 2026,Memory-based recall,Moderate,1 question classified to this topic in the available partial June 2026 recall,2026-09-23
Pharmacology,Cardiovascular,,4,1,June 2026,June 2026,Memory-based recall,Moderate,4 questions classified to this topic in the available partial June 2026 recall,2026-09-23
Pharmacology,Respiratory,,2,1,June 2026,June 2026,Memory-based recall,Moderate,2 questions classified to this topic in the available partial June 2026 recall,2026-09-23
Pharmacology,Endocrine,,1,1,June 2026,June 2026,Memory-based recall,Moderate,1 question classified to this topic in the available partial June 2026 recall,2026-09-23
Pharmacology,General Pharmacodynamics,,1,1,June 2026,June 2026,Memory-based recall,Moderate,1 question classified to this topic in the available partial June 2026 recall,2026-09-23
Community Medicine,Epidemiology,,5,1,June 2026,June 2026,Memory-based recall,Moderate,5 questions classified to this topic in the available partial June 2026 recall,2026-09-23
Community Medicine,Research Methodology,,4,1,June 2026,June 2026,Memory-based recall,Moderate,4 questions classified to this topic in the available partial June 2026 recall,2026-09-23
Community Medicine,Environmental/Food Health,,2,1,June 2026,June 2026,Memory-based recall,Moderate,2 questions classified to this topic in the available partial June 2026 recall,2026-09-23
Community Medicine,Nutrition,,1,1,June 2026,June 2026,Memory-based recall,Moderate,1 question classified to this topic in the available partial June 2026 recall,2026-09-23
Community Medicine,Demography,,2,1,June 2026,June 2026,Memory-based recall,Moderate,2 questions classified to this topic in the available partial June 2026 recall,2026-09-23
Community Medicine,Screening,,1,1,June 2026,June 2026,Memory-based recall,Moderate,1 question classified to this topic in the available partial June 2026 recall,2026-09-23
Community Medicine,Communicable Diseases,,1,1,June 2026,June 2026,Memory-based recall,Moderate,1 question classified to this topic in the available partial June 2026 recall,2026-09-23
Community Medicine,Occupational Health,,3,1,June 2026,June 2026,Memory-based recall,Moderate,3 questions classified to this topic in the available partial June 2026 recall,2026-09-23
Community Medicine,Health Organizations,,1,1,June 2026,June 2026,Memory-based recall,Moderate,1 question classified to this topic in the available partial June 2026 recall,2026-09-23
Community Medicine,Health Education,,1,1,June 2026,June 2026,Memory-based recall,Moderate,1 question classified to this topic in the available partial June 2026 recall,2026-09-23
Community Medicine,Health Planning,,1,1,June 2026,June 2026,Memory-based recall,Moderate,1 question classified to this topic in the available partial June 2026 recall,2026-09-23
Community Medicine,Primary Health Care,,3,1,June 2026,June 2026,Memory-based recall,Moderate,3 questions classified to this topic in the available partial June 2026 recall,2026-09-23
Community Medicine,Health Economics,,1,1,June 2026,June 2026,Memory-based recall,Moderate,1 question classified to this topic in the available partial June 2026 recall,2026-09-23
Community Medicine,Biostatistics,,1,1,June 2026,June 2026,Memory-based recall,Moderate,1 question classified to this topic in the available partial June 2026 recall,2026-09-23
Psychiatry,Neurodevelopmental Disorders,,1,1,June 2026,June 2026,Memory-based recall,Moderate,1 question classified to this topic in the available partial June 2026 recall,2026-09-23
Psychiatry,Anxiety/Related Disorders,,1,1,June 2026,June 2026,Memory-based recall,Moderate,1 question classified to this topic in the available partial June 2026 recall,2026-09-23
Psychiatry,Psychotic Disorders,,1,1,June 2026,June 2026,Memory-based recall,Low,Question was incomplete or ambiguous in the source,2026-09-23
Psychiatry,Antipsychotics,,1,1,June 2026,June 2026,Memory-based recall,Moderate,1 question classified to this topic in the available partial June 2026 recall,2026-09-23
Psychiatry,Mood Disorders,,1,1,June 2026,June 2026,Memory-based recall,Moderate,1 question classified to this topic in the available partial June 2026 recall,2026-09-23
Psychiatry,Eating/Reproductive,,1,1,June 2026,June 2026,Memory-based recall,Moderate,1 question classified to this topic in the available partial June 2026 recall,2026-09-23
Radiology,Radiation Protection,,1,1,June 2026,June 2026,Memory-based recall,Moderate,1 question classified to this topic in the available partial June 2026 recall,2026-09-23
Radiology,Abdominal Imaging,,1,1,June 2026,June 2026,Memory-based recall,Low,Image-dependent question,2026-09-23
Radiology,Neuroradiology,,1,1,June 2026,June 2026,Memory-based recall,Low,Image-dependent question,2026-09-23
Radiology,Head/Neck Imaging,,1,1,June 2026,June 2026,Memory-based recall,Moderate,1 question classified to this topic in the available partial June 2026 recall,2026-09-23
Radiology,Nuclear Medicine,,1,1,June 2026,June 2026,Memory-based recall,Low,Question was incomplete in the source extraction,2026-09-23
Radiotherapy,Brachytherapy,,1,1,June 2026,June 2026,Memory-based recall,Moderate,1 question classified to this topic in the available partial June 2026 recall,2026-09-23
Surgery,Trauma,,4,1,June 2026,June 2026,Memory-based recall,Moderate,4 questions classified to this topic in the available partial June 2026 recall,2026-09-23
Surgery,Hepatobiliary Imaging,,1,1,June 2026,June 2026,Memory-based recall,Moderate,1 question classified to this topic in the available partial June 2026 recall,2026-09-23
Surgery,Burns,,1,1,June 2026,June 2026,Memory-based recall,Moderate,1 question classified to this topic in the available partial June 2026 recall,2026-09-23
Surgery,Breast Disease,,2,1,June 2026,June 2026,Memory-based recall,Moderate,2 questions classified to this topic in the available partial June 2026 recall,2026-09-23
Surgery,Head and Neck Surgery,,2,1,June 2026,June 2026,Memory-based recall,Moderate,2 questions classified to this topic in the available partial June 2026 recall,2026-09-23
Surgery,Thoracic Surgery,,1,1,June 2026,June 2026,Memory-based recall,Moderate,1 question classified to this topic in the available partial June 2026 recall,2026-09-23
Surgery,Upper GI Surgery,,2,1,June 2026,June 2026,Memory-based recall,Moderate,2 questions classified to this topic in the available partial June 2026 recall,2026-09-23
Surgery,Urology,,4,1,June 2026,June 2026,Memory-based recall,Moderate,4 questions classified to this topic in the available partial June 2026 recall,2026-09-23
Surgery,Minimal Access Surgery,,1,1,June 2026,June 2026,Memory-based recall,Moderate,1 question classified to this topic in the available partial June 2026 recall,2026-09-23
Surgery,Endocrine Surgery,,1,1,June 2026,June 2026,Memory-based recall,Moderate,1 question classified to this topic in the available partial June 2026 recall,2026-09-23
Surgery,Bariatric Surgery,,1,1,June 2026,June 2026,Memory-based recall,Moderate,1 question classified to this topic in the available partial June 2026 recall,2026-09-23
Surgery,Vascular Surgery,,1,1,June 2026,June 2026,Memory-based recall,Moderate,1 question classified to this topic in the available partial June 2026 recall,2026-09-23
Surgery,Colorectal Surgery,,1,1,June 2026,June 2026,Memory-based recall,Moderate,1 question classified to this topic in the available partial June 2026 recall,2026-09-23
Surgery,Surgical Oncology,,2,1,June 2026,June 2026,Memory-based recall,Moderate,2 questions classified to this topic in the available partial June 2026 recall,2026-09-23
Surgery,Perioperative Medicine,,1,1,June 2026,June 2026,Memory-based recall,Moderate,1 question classified to this topic in the available partial June 2026 recall,2026-09-23
Physiology,Cardiovascular Physiology,,3,1,June 2026,June 2026,Memory-based recall,Moderate,3 questions classified to this topic in the available partial June 2026 recall,2026-09-23
Physiology,Neuromuscular Physiology,,2,1,June 2026,June 2026,Memory-based recall,Moderate,2 questions classified to this topic in the available partial June 2026 recall,2026-09-23
Physiology,Neurophysiology,,1,1,June 2026,June 2026,Memory-based recall,Moderate,1 question classified to this topic in the available partial June 2026 recall,2026-09-23
Physiology,Endocrine Physiology,,1,1,June 2026,June 2026,Memory-based recall,Moderate,1 question classified to this topic in the available partial June 2026 recall,2026-09-23
Physiology,Cell Physiology,,1,1,June 2026,June 2026,Memory-based recall,Moderate,1 question classified to this topic in the available partial June 2026 recall,2026-09-23
Physiology,Respiratory Physiology,,1,1,June 2026,June 2026,Memory-based recall,Moderate,1 question classified to this topic in the available partial June 2026 recall,2026-09-23
Physiology,Renal Physiology,,1,1,June 2026,June 2026,Memory-based recall,Moderate,1 question classified to this topic in the available partial June 2026 recall,2026-09-23
OBG,Reproductive Endocrinology,,2,1,June 2026,June 2026,Memory-based recall,Moderate,2 questions classified to this topic in the available partial June 2026 recall,2026-09-23
OBG,Embryology,,1,1,June 2026,June 2026,Memory-based recall,Moderate,1 question classified to this topic in the available partial June 2026 recall,2026-09-23
OBG,Obstetric Medicine,,4,1,June 2026,June 2026,Memory-based recall,Moderate,4 questions classified to this topic in the available partial June 2026 recall,2026-09-23
OBG,Gynecology,,3,1,June 2026,June 2026,Memory-based recall,Moderate,3 questions classified to this topic in the available partial June 2026 recall,2026-09-23
OBG,Obstetric Emergencies,,1,1,June 2026,June 2026,Memory-based recall,Moderate,1 question classified to this topic in the available partial June 2026 recall,2026-09-23
OBG,Obstetrics,,4,1,June 2026,June 2026,Memory-based recall,Moderate,4 questions classified to this topic in the available partial June 2026 recall,2026-09-23
OBG,Contraception,,1,1,June 2026,June 2026,Memory-based recall,Moderate,1 question classified to this topic in the available partial June 2026 recall,2026-09-23
OBG,Reproductive Medicine,,1,1,June 2026,June 2026,Memory-based recall,Moderate,1 question classified to this topic in the available partial June 2026 recall,2026-09-23
OBG,Genetics,,1,1,June 2026,June 2026,Memory-based recall,Moderate,1 question classified to this topic in the available partial June 2026 recall,2026-09-23
OBG,Family Planning,,1,1,June 2026,June 2026,Memory-based recall,Moderate,1 question classified to this topic in the available partial June 2026 recall,2026-09-23
OBG,Recurrent Pregnancy Loss,,1,1,June 2026,June 2026,Memory-based recall,Moderate,1 question classified to this topic in the available partial June 2026 recall,2026-09-23
OBG,Immunization in Pregnancy,,1,1,June 2026,June 2026,Memory-based recall,Moderate,1 question classified to this topic in the available partial June 2026 recall,2026-09-23
OBG,Andrology,,1,1,June 2026,June 2026,Memory-based recall,High,Answer explicitly stated in source,2026-09-23
OBG,Urogynecology,,1,1,June 2026,June 2026,Memory-based recall,High,Answer explicitly stated in source,2026-09-23
